City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sawakin,19.1059,37.3321,76.71,56,65,12.95,SD,2023-02-04 11:41:12
1,Palmas,-10.2128,-48.3603,76.87,88,40,4.61,BR,2023-02-04 11:41:13
2,Caravelas,-17.7125,-39.2481,85.23,60,15,7.56,BR,2023-02-04 11:41:15
3,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.38,98,100,0.69,BR,2023-02-04 11:41:16
4,Hervey Bay,-25.2986,152.8535,77.2,82,100,12.06,AU,2023-02-04 11:41:17
5,Qaanaaq,77.484,-69.3632,-3.62,57,17,6.44,GL,2023-02-04 11:41:18
6,Hermanus,-34.4187,19.2345,89.8,66,0,11.07,ZA,2023-02-04 11:41:19
7,Challans,46.8436,-1.8749,50.2,74,0,8.14,FR,2023-02-04 11:38:19
8,Chokurdakh,70.6333,147.9167,-24.52,97,86,9.71,RU,2023-02-04 11:41:21
9,Lakewood,39.7047,-105.0814,43.14,44,100,1.99,US,2023-02-04 11:41:22
10,Busselton,-33.65,115.3333,78.22,39,27,12.28,AU,2023-02-04 11:41:23
11,Bluff,-46.6,168.3333,63.72,83,53,1.86,NZ,2023-02-04 11:41:24
12,Barrow,71.2906,-156.7887,-20.18,76,75,6.91,US,2023-02-04 11:41:25
13,Ushuaia,-54.8,-68.3,47.86,66,20,26.46,AR,2023-02-04 11:41:26
14,Ribeira Grande,38.5167,-28.7,63.0,88,75,17.0,PT,2023-02-04 11:41:27
15,Lagoa,39.05,-27.9833,59.34,84,57,10.42,PT,2023-02-04 11:41:28
16,Bambanglipuro,-7.95,110.2833,77.74,88,100,5.86,ID,2023-02-04 11:41:29
17,Ust-Kuyga,70.0167,135.6,-26.14,97,100,2.73,RU,2023-02-04 11:41:30
18,Albany,42.6001,-73.9662,-11.78,54,9,9.55,US,2023-02-04 11:41:31
19,Geraldton,-28.7667,114.6,81.01,65,22,8.05,AU,2023-02-04 11:38:19
20,Dubbo,-32.25,148.6167,64.53,36,0,8.05,AU,2023-02-04 11:37:23
21,New Norfolk,-42.7826,147.0587,58.71,68,100,4.0,AU,2023-02-04 11:41:34
22,Avarua,-21.2078,-159.775,80.65,83,40,9.22,CK,2023-02-04 11:41:35
23,Rikitea,-23.1203,-134.9692,77.52,78,71,14.92,PF,2023-02-04 11:41:36
24,Vancouver,49.2497,-123.1193,46.24,96,75,8.05,CA,2023-02-04 11:37:59
25,Leningradskiy,69.3833,178.4167,-23.28,98,100,3.8,RU,2023-02-04 11:41:38
26,Taltal,-25.4,-70.4833,69.76,79,51,1.57,CL,2023-02-04 11:41:39
27,Jamestown,42.097,-79.2353,11.71,70,100,4.61,US,2023-02-04 11:41:40
28,Talakan,50.3167,130.3667,-8.88,100,97,1.39,RU,2023-02-04 11:41:41
29,Vestmanna,62.1564,-7.1664,40.12,87,100,27.63,FO,2023-02-04 11:41:43
30,Torbay,47.6666,-52.7314,13.75,81,100,31.07,CA,2023-02-04 11:41:44
31,At-Bashi,41.1702,75.8106,16.09,90,16,3.24,KG,2023-02-04 11:41:44
32,Lazaro Cardenas,17.9583,-102.2,70.72,70,0,5.26,MX,2023-02-04 11:39:22
33,Kaitangata,-46.2817,169.8464,64.6,81,1,6.06,NZ,2023-02-04 11:41:46
34,Saint-Philippe,-21.3585,55.7679,83.79,87,46,11.54,RE,2023-02-04 11:41:47
35,Mabaruma,8.2,-59.7833,74.26,95,88,2.59,GY,2023-02-04 11:41:48
36,Hobart,-42.8794,147.3294,59.05,76,75,17.27,AU,2023-02-04 11:39:17
37,Butaritari,3.0707,172.7902,81.07,81,40,20.2,KI,2023-02-04 11:41:51
38,Yerofey Pavlovich,53.9667,121.9667,-16.08,100,89,3.31,RU,2023-02-04 11:41:52
39,Vaini,-21.2,-175.2,78.96,94,75,5.75,TO,2023-02-04 11:41:53
40,Tongliao,43.6125,122.2653,22.17,37,1,8.43,CN,2023-02-04 11:41:54
41,Salinas,36.6777,-121.6555,52.5,85,20,6.91,US,2023-02-04 11:41:55
42,Batticaloa,7.7102,81.6924,78.91,84,99,9.15,LK,2023-02-04 11:41:56
43,Port Alfred,-33.5906,26.891,79.18,77,6,10.0,ZA,2023-02-04 11:41:56
44,Esso,55.9333,158.7,-6.02,95,49,4.43,RU,2023-02-04 11:41:57
45,Sobolevo,54.4299,31.8996,23.74,87,90,9.06,RU,2023-02-04 11:41:58
46,Tasiilaq,65.6145,-37.6368,28.56,86,100,7.27,GL,2023-02-04 11:42:00
47,Khatanga,71.9667,102.5,-36.31,100,73,4.36,RU,2023-02-04 11:42:01
48,Gigmoto,13.7796,124.39,77.43,87,78,13.22,PH,2023-02-04 11:42:02
49,Faya,18.3851,42.4509,68.11,47,82,10.42,SA,2023-02-04 11:43:03
50,Oussouye,12.485,-16.5469,82.58,13,56,7.87,SN,2023-02-04 11:43:04
51,Cape Town,-33.9258,18.4232,84.61,45,0,8.05,ZA,2023-02-04 11:40:11
52,Manavalakurichi,8.1333,77.3,81.77,74,60,1.32,IN,2023-02-04 11:43:06
53,Upernavik,72.7868,-56.1549,-11.52,92,100,11.48,GL,2023-02-04 11:43:07
54,Punta Arenas,-53.15,-70.9167,53.62,66,0,11.5,CL,2023-02-04 11:41:43
55,Muros,42.7762,-9.0603,59.85,52,0,3.8,ES,2023-02-04 11:43:09
56,Conceicao Do Araguaia,-8.2578,-49.2647,77.43,87,100,1.16,BR,2023-02-04 11:43:10
57,Mar Del Plata,-38.0023,-57.5575,70.95,73,20,14.0,AR,2023-02-04 11:43:11
58,Larap,14.299,122.6504,76.05,80,100,9.93,PH,2023-02-04 11:43:12
59,Pontianak,-0.0333,109.3333,80.58,83,20,3.44,ID,2023-02-04 11:39:35
60,Kieta,-6.2167,155.6333,79.45,85,89,3.96,PG,2023-02-04 11:43:14
61,Mataura,-46.1927,168.8643,68.11,72,22,4.25,NZ,2023-02-04 11:43:16
62,Kuala Terengganu,5.3302,103.1408,80.55,83,40,5.75,MY,2023-02-04 11:43:11
63,Castro,-24.7911,-50.0119,65.39,96,100,9.55,BR,2023-02-04 11:43:17
64,Camacha,33.0833,-16.3333,60.22,67,40,18.41,PT,2023-02-04 11:43:19
65,Saskylakh,71.9167,114.0833,-48.5,100,59,0.81,RU,2023-02-04 11:43:20
66,Aras,42.5617,-2.356,48.61,37,0,18.41,ES,2023-02-04 11:43:22
67,Bethel,41.3712,-73.414,1.27,55,0,4.61,US,2023-02-04 11:43:31
68,Umm Lajj,25.0213,37.2685,71.17,49,6,15.08,SA,2023-02-04 11:40:41
69,Cedar Rapids,42.0083,-91.6441,15.91,75,0,13.8,US,2023-02-04 11:43:36
70,Kapaa,22.0752,-159.319,73.72,93,100,16.11,US,2023-02-04 11:43:38
71,Fuyang,32.9,115.8167,42.42,58,100,7.09,CN,2023-02-04 11:43:24
72,Thompson,55.7435,-97.8558,-16.44,76,40,3.44,CA,2023-02-04 11:43:42
73,Airai,-8.9266,125.4092,61.05,93,100,3.0,TL,2023-02-04 11:43:42
74,Iqaluit,63.7506,-68.5145,-34.31,65,20,15.01,CA,2023-02-04 11:43:43
75,Altay,47.8667,88.1167,16.48,86,51,6.13,CN,2023-02-04 11:42:55
76,Sinnamary,5.3833,-52.95,77.83,87,67,11.72,GF,2023-02-04 11:43:45
77,Lamar,33.6668,-95.5836,37.63,96,0,5.75,US,2023-02-04 11:43:47
78,Talnakh,69.4865,88.3972,8.65,97,100,4.83,RU,2023-02-04 11:43:48
79,Avera,33.194,-82.5271,33.31,50,0,8.88,US,2023-02-04 11:43:49
80,Turayf,31.6725,38.6637,53.85,40,75,20.71,SA,2023-02-04 11:40:23
81,Narsaq,60.9167,-46.05,7.02,71,43,15.14,GL,2023-02-04 11:43:51
82,Bambous Virieux,-20.3428,57.7575,84.45,70,40,11.5,MU,2023-02-04 11:43:52
83,Rawson,-43.3002,-65.1023,78.17,40,1,4.81,AR,2023-02-04 11:41:15
